rank,discipline,yrs.since.phd,yrs.service,sex,salary
Prof,A,17,11,Male,148800
Prof,A,49,43,Male,72300
AssocProf,A,45,39,Male,70700
Prof,A,39,36,Male,88600
Prof,A,27,16,Male,127100
Prof,A,28,13,Male,170500
Prof,A,14,4,Male,105260
Prof,A,46,44,Male,144050
Prof,A,33,31,Male,111350
AsstProf,A,7,4,Male,74500
Prof,A,31,28,Male,122500
AsstProf,A,5,0,Male,74000
Prof,A,22,15,Male,166800
Prof,A,20,7,Male,92050
Prof,A,14,9,Male,108100
Prof,A,29,19,Male,94350
Prof,A,35,35,Male,100351
Prof,A,22,6,Male,146800
AsstProf,B,6,3,Male,84716
AssocProf,B,12,9,Female,71065
Prof,B,46,45,Male,67559
Prof,B,16,16,Male,134550
Prof,B,16,15,Male,135027
Prof,B,24,23,Male,104428
AssocProf,B,9,9,Male,95642
AssocProf,B,13,11,Male,126431
Prof,B,24,15,Female,161101
Prof,B,30,31,Male,162221
AsstProf,B,8,4,Male,84500
Prof,B,23,15,Male,124714
Prof,B,37,37,Male,151650
AssocProf,B,10,10,Male,99247
Prof,B,23,23,Male,134778
Prof,B,49,60,Male,192253
Prof,B,20,9,Male,116518
Prof,B,18,10,Female,105450
Prof,B,33,19,Male,145098
AssocProf,B,19,6,Female,104542
Prof,B,36,38,Male,151445
Prof,B,35,23,Male,98053
Prof,B,13,12,Male,145000
Prof,B,32,25,Male,128464
Prof,B,37,15,Male,137317
Prof,B,13,11,Male,106231
Prof,B,17,17,Female,124312
Prof,B,38,38,Male,114596
Prof,B,31,31,Male,162150
Prof,B,32,35,Male,150376
Prof,B,15,10,Male,107986
Prof,B,41,27,Male,142023
Prof,B,39,33,Male,128250
AsstProf,B,4,3,Male,80139
Prof,B,27,28,Male,144309
Prof,B,56,49,Male,186960
Prof,B,38,38,Male,93519
Prof,B,26,27,Male,142500
Prof,B,22,20,Male,138000
AsstProf,B,8,1,Male,83600
Prof,B,25,21,Male,145028
Prof,A,49,40,Male,88709
Prof,A,39,35,Male,107309
Prof,A,28,14,Female,109954
AsstProf,A,11,4,Male,78785
Prof,A,14,11,Male,121946
Prof,A,23,15,Female,109646
Prof,A,30,30,Male,138771
AssocProf,A,20,17,Male,81285
Prof,A,43,43,Male,205500
Prof,A,43,40,Male,101036
Prof,A,15,10,Male,115435
AssocProf,A,10,1,Male,108413
Prof,A,35,30,Male,131950
Prof,A,33,31,Male,134690
AssocProf,A,13,8,Male,78182
Prof,A,23,20,Male,110515
Prof,A,12,7,Male,109707
Prof,A,30,26,Male,136660
Prof,A,27,19,Male,103275
Prof,A,28,26,Male,103649
AsstProf,A,4,1,Male,74856
AsstProf,A,6,3,Male,77081
Prof,A,38,38,Male,150680
AssocProf,A,11,8,Male,104121
AsstProf,A,8,3,Male,75996
Prof,A,27,23,Male,172505
AssocProf,A,8,5,Male,86895
Prof,A,44,44,Male,105000
Prof,A,27,21,Male,125192
Prof,A,15,9,Male,114330
Prof,A,29,27,Male,139219
Prof,A,29,15,Male,109305
Prof,A,38,36,Male,119450
Prof,A,33,18,Male,186023
Prof,A,40,19,Male,166605
Prof,A,30,19,Male,151292
Prof,A,33,30,Male,103106
Prof,A,31,19,Male,150564
Prof,A,42,25,Male,101738
Prof,A,25,15,Male,95329
AsstProf,A,8,4,Male,81035
